symbol,age,outcome,r,gross_r,cost_r
DEXE/USDT,0,BE,0.025864274261375053,0.22636252434954382,0.20049825008816877
DEXE/USDT,20,BE,0.025243617420459108,0.2209305741682702,0.19568695674781109
DEXE/USDT,10,BE,0.02301781799094163,0.20145051559517932,0.1784326976042377
DEXE/USDT,34,data_quality_ambiguous,,,0.21432647307584526
DEXE/USDT,1,SL,-1.4297937366152864,-1.1429312455384213,0.2868624910768652
DEXE/USDT,315,BE,0.025295675294628978,0.22138618145461686,0.19609050615998788
DEXE/USDT,14,BE,0.04192312816696492,0.36690861783314044,0.3249854896661755
DEXE/USDT,5,BE,0.03420696180131355,0.29937720832316245,0.2651702465218489
DEXE/USDT,19,+1R,0.7006663540445408,1.0,0.29933364595545914
DEXE/USDT,4,+2R,1.7304358563709568,2.0,0.26956414362904335
DEXE/USDT,15,BE,0.027713090306547478,0.24254324772162508,0.2148301574150776
DEXE/USDT,3,+2R,1.6431154379762993,2.0,0.3568845620237007
DEXE/USDT,301,data_quality_ambiguous,,,0.30728042239355957
DEXE/USDT,275,BE,0.04081352060530846,0.3571974012664031,0.31638388066109463
DEXE/USDT,505,+2R,1.7050213471821596,2.0,0.29497865281784047
DEXE/USDT,124,Pending,,,
ONDO/USDT,13,BE,0.036859059573064346,0.3225882035504175,0.28572914397735316
ONDO/USDT,5,BE,0.03125471563454546,0.27353933295652905,0.2422846173219836
ONDO/USDT,5,SL,-1.4844700510686548,-1.1611566836895644,0.32331336737909044
ONDO/USDT,2,data_quality_ambiguous,,,0.36838989716828674
ONDO/USDT,57,data_quality_ambiguous,,,0.3419182812979831
ONDO/USDT,38,BE,0.044012063183168304,0.38519084754885924,0.34117878436569093
ONDO/USDT,24,+1R,0.6512283222771227,1.0,0.34877167772287726
ONDO/USDT,9,BE,0.05075895261803143,0.4442392054710186,0.39348025285298716
ONDO/USDT,153,zone_not_touched,,,
ONDO/USDT,4,+1R,0.6133587650612806,1.0,0.38664123493871944
